mode,fct_ms
ECMP,0.0076
ECMP,0.0088
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.01
ECMP,0.0088
ECMP,0.0064
ECMP,0.0088
ECMP,0.0076
ECMP,0.01
ECMP,0.0064
ECMP,0.01
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0124
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.01
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0172
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.01
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0172
ECMP,0.0112
ECMP,0.0088
ECMP,0.0184
ECMP,0.0064
ECMP,0.0184
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.016
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0136
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0088
ECMP,0.0076
ECMP,0.0208
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.01
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.022
ECMP,0.0064
ECMP,0.0136
ECMP,0.0064
ECMP,0.0124
ECMP,0.0076
ECMP,0.0112
ECMP,0.01
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.016
ECMP,0.0112
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0088
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0244
ECMP,0.0112
ECMP,0.0208
ECMP,0.0064
ECMP,0.0064
ECMP,0.01
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0136
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.01
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0208
ECMP,0.0076
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0124
ECMP,0.0064
ECMP,0.0064
ECMP,0.0112
ECMP,0.0148
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.01
ECMP,0.01
ECMP,0.0064
ECMP,0.0088
ECMP,0.0256
ECMP,0.0064
ECMP,0.0064
ECMP,0.0088
ECMP,0.0136
ECMP,0.0064
ECMP,0.0076
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0232
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0088
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0136
ECMP,0.0172
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0232
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0088
ECMP,0.0064
ECMP,0.0076
ECMP,0.0088
ECMP,0.0064
ECMP,0.0064
ECMP,0.0244
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0328
ECMP,0.0088
ECMP,0.0064
ECMP,0.0088
ECMP,0.0076
ECMP,0.0064
ECMP,0.0076
ECMP,0.0112
ECMP,0.0076
ECMP,0.0076
ECMP,0.0112
ECMP,0.0148
ECMP,0.0064
ECMP,0.016
ECMP,0.0076
ECMP,0.0196
ECMP,0.034
ECMP,0.0112
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0088
ECMP,0.0064
ECMP,0.0064
ECMP,0.169646
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0112
ECMP,0.0064
ECMP,0.0112
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.016
ECMP,0.0064
ECMP,0.0112
ECMP,0.0064
ECMP,0.0076
ECMP,0.0268
ECMP,0.0076
ECMP,0.0112
ECMP,0.0076
ECMP,0.0076
ECMP,0.0064
ECMP,0.0088
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0088
ECMP,0.0076
ECMP,0.01
ECMP,0.0064
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.0076
ECMP,0.0064
ECMP,0.0064
ECMP,0.01
ECMP,0.0088
